@relation '6HumanCoded Dataset. Positive and negative scores correspond to the average judgement of at least 3 annotators. More info at: http://sentistrength.wlv.ac.uk/ '

@attribute content string
@attribute pos numeric
@attribute neg numeric

@data
'@heydusti oh  geez  I\'d have a lot more songs that way.',1,2
'@natuhtack I will have some apple chicken sausage delivered to you.',1,1
'@wendywave1 HAHAHAH that was worded weird. I\'m reading while a candle is burning in my room',1,2
'@KantGitRite you should follow me while ur at it u tickle my dick with ur comments',1,1
'RT @importantdate: You can preview the exclusive Tim Burton\'s #Alice Boutique  opening 2/11. It\'s a curious collection! http://ow.ly/15uSt',2,2
'@iJuslisen pretty much my g..i need a banger..get it to the bloggers..lets do it.',2,2
'Photo: Chace Crawford?. Oh man I can look at pictures of him all day BUT i have homework to get back to so... http://tumblr.com/xbf6aoc1l',2,2
'Commission Ritual.: P.S. I want to make this perfectly clear: Commission Ritual will get your sites multiple fi.. http://bit.ly/7dqvqj',1,1
'On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5',1,2
'Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...',1,2
'Twitter Background - Reviews  News  and How To Geeks: This is my Twitter background for my Personal Twitter. http://bit.ly/bdbijW',1,1
'Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8',1,2
'RT @MidieastBozz: RT @Frayz: Check out - www.MidieastMovement.com That\'s a #BrandName http://myloc.me/3Dy7o',1,1
'Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH http://tumblr.com/x7269s2mn',2,1
'Winter Olympics: An Add-On to the Modern Games http://bit.ly/9BP1lc',1,1
'Heres a new idea how about i get you a spoon so you can read my ass.',1,2
'Equipped a Gamma Mittens. #epicpetwars http://www.epicpetwars.com',1,1
'RT @FriendsTVFan: #RetweetTHisIf you want #FriendsTheMovie via @Lisa_Kudrow',2,1
'@alexabimanyu as for now nope. Use XL for cheaper rate of prepaid and postpaid roaming',2,2
'It\'s A Bird! It\'s A Plane! It\'s Chris Nolan! He\'ll Mentor Superman 3.0 And Prep 3rd http://bit.ly/dnSFmU',1,1
'Andy is rambling on C&C this morning - shutup and get on with it man',1,3
'@tigerlilybubu lol  where are you? I once forgot the car completely and left home without it.',1,3
'Grow on Twitter with Tweet Automator http://bit.ly/dwxFHu',1,1
'@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun\'s favor  they remain a minority',1,2
'count the sheeps and you can sleep :) RT @RaissaArif it\'s time to sleep actually but i can\'t sleep..hmmm i\'ll try',2,2
'The Newest Member of _________________! #yehbuddy',2,1
'@SeaNanners Hey Adam  JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2  maybe ask for his help?',2,1
'Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:',2,1
'oh my goodness I\'m emo',1,2
'@Din_Jee wait wait wait...im confused...are you there?',1,2
'RT @Arranwhisky: New #Arran #Malt #Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates',2,1
'emm  my lip is starting to hurt :/',1,3
'Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work',1,3
'#TED travel off to rocky start thanks to wayward wallet. JUST made my flight  but horridly tense.',1,3
'RT 50+ Awesome Twitter Tips to become a Pro http://ow.ly/14LjW via @virtuosoblogger',3,1
'@JBieberboyyy i was thinking that i wanna make a Cake party in my house :O! lol',3,1
'http://www.youtube.com/watch?v=0TpGvMh6Uow&feature=player_embedded Check it out! In the middle of London! SO COOL!',3,1
'This cares about Internet marketing resources. kitti joined this as a marketer. http://ihid.us?i=noj',1,1
'Mountains  trees  and beautiful cotton-ish blue sky! I will fly! :)',3,1
'@justinbieber follow me? please...(: your great and it would make my day. btw  i wanna shampoo your hair ;D lmao. 3',4,1
'RT @KLM: RT @tiesto Last chance to meet @tiesto in Bangkok w/ @KLM. Tell your friends & increase the chance of winning together- http://tiny.cc/Ei5hB',2,2
'Lets trade McNabb to the Broncos and get Brandon Marshall. That team has potential...not w/ Kyle Orton at QB tho.',2,2
'RT @chriscolfer: I hereby name all the Kurt fans as the Kurtsies.',1,1
'I thought about saying underwhelming instead of disappointing but one must maintain standards  even in the face of snowmageddon',2,2
'@DarrylTalley @J9Talley hi there! Nice to see you back!',3,1
'Topic ????:iRedAdmin-Pro-1.1.0 in forum ????? by ZhangHuangbin. http://to.ly/16Uv #iredmail',1,1
'Quick Tip: How to Work with @Font-face:- http://u.nu/2iv35',1,1
'RT @katyperry: I ? New York!',3,1
'RT @ayse: The top 10 novels in Modern Library\'s reader\'s picks list include four by Ayn Rand and three by L. Ron Hubbard. America  you scare me.',2,2
'RT @Alissa_juknow @PreciousBarbieQ you gotta make ur page private hun... that\'ll cut them down a lot <',2,2
'@Aviemoron My coffin has already been reshaped as it\'s going with me!!!',3,1
'RT @ErnieAtNing: Selected OpenSocial Ning Apps are now available on github  via Apache 2.0 license: http://bit.ly/97lwm8',1,1
'I went to hot power yoga and I loved it. MUCH better than Bikram to me. Power Good. Hot Good. Sweat Good. What\'s not to love? #stinky',4,1
'@nicko236 Lol  well I considered posting something normal  but since when have I been normal.',1,2
'Google Traffic Pump Pro System.: How To Get Targeted Leads And Massive Traffic To Any Website In 15 Minutes Or Less! http://bit.ly/bGI1aO',1,1
'RT @WLKY Welcome! http://scrbliv.me/11767 We have 4 inches in New Albany and still coming down.',1,1
'It saddens my heart 2 C women with black eyes! :(',1,4
'?aaaaaaah   e aparece a @gpaaaiva no clipe :B *-* (@replacemusic live on http://twitcam.com/eo3d)',1,1
'I cant feel my feet.. that cant be good..',1,3
'RT @katsuhir0: ??????????????RT @ts_tw: ????????????RT @shimay ?????Xperia?????????????30?? http://bit.ly/9i5kzy',1,1
'@officialerika i hope so dude hahaha <3. So  which subject do you have right now? xx',3,1
'He\'s been ranting about this for years RT @eugenelee finally blogged Business is Conducted by People  not Users http://bit.ly/9Dt24j',1,2
'Questions galore in my heart i try to sleep. a little hurt  a little lonely a little confused a little in love  a little smooth a li\'l rough',2,2
'RT @Local76_493: Happy Birthday to Carole King b.1942  Carmen Miranda 1909 ',2,1
':-) RT @lenno212: Keith Hernandez and Daniel Murphy already have begun working out together in Port St. Lucie. #Mets',1,1
'going to get jubby\'s valentines day gift with some assistance from lee and shane:) finally got my car registered:) work monday-friday 12-4 ?',2,1
'About to spend the next couple of hours of my life working for the man',1,2
'RT @BRADPIFF877: I should of threw my self on the floor and screamed (bro u would be gettin a fat check if u had done dat)',1,2
'need to find a red all lace see thru dress (like my black one)for my friend brian goins red && black birthday party this weekend;;His GIFT!',2,1
'@jimalkhalili Well deserved. Seems emblematic of a new BBC confidence unashamedly to produce docs that are pitched at more advanced level.',2,1
'@Nyamorabu yea  that\'s y I\'m not supposed to use it  they wanna attribute all the results to the mouthwash  without chewing gum to help it.',1,2
'RT @remhq: The Helping Haiti charity single for Everybody Hurts is available for download at http://bit.ly/dihtlL',1,1
'@Jesse_Son How DARE YOU I am now* your darklordwaffle PIMP now hoe work that corner *pimp slaps*',1,3
'Well on the bright side if the conservatives win the general elections the scots can stop leeching from the english purse!',2,2
'Learning about water heaters - ah the joys of home ownership - and still being single : )',3,1
'Personal Branding Is All About How You Execute The Brand | Jupdi Blogs: Like many people possibly think  personal ... http://bit.ly/93Lbkd',1,1
'@MizzChievouz http://twitpic.com/11ww1v - makeupkase',1,1
'2 cans of full fat coke and im bouncing round the place.',2,1
'My Business is Free to Join and makes me $12000 a month http://freewage.ws',1,1
'RT @ZachBehrens: And so the rain begins here in Studio City... http://myloc.me/3EJOB',1,1
'Turns out I got the dates mixed up.. Match is tomorrow so off to bed peeps... C ya all at 4... Gnite n sweet dreams',2,2
'PORN!?! Shit WONT be E Z my G! Trust me i TRIED! RT @overtheFame I think I know what I am giving up for Lent...it won\'... http://3.ly/3uC',1,3
'i wanna be the minority  i dont need your authority  down with the moral majority',2,2
'i\'m so super duper excitied right now cuz\' i\'m gonna watch Harry Potter !',5,1
'@planetjedward hey! going to see you in dundrum on friday:) i was talking to ur mam(my teacher) today:) NO SCHOL because im going to you:)x',4,1
'every body check out yung purp on myspace @ rod-kush and yung purp muzik page hit single put me in ya research http://po.st/hdA',1,1
'Leadership and learning are indispensable to each other. -John F. Kennedy',1,1
'[BlogNetNewsHR] Bearing Drift: Randy Forbes: Name that salary cut: Number of comments: 1Congressman Randy Forbes ... http://bit.ly/a1dslk',1,1
'RT @kgarrard: I lift my eyes up to You  to You whose throne is in heaven. Ps. 123:1... <3 // Love it. And the maker of heaven & earth :)',3,1
'YouTube - State of the Union - American IDLE http://bit.ly/b76iOz',1,1
'How to Succeed in the Age of Going Solo? A great article for everyone to read in the WSJ. http://tinyurl.com/yzma3sn',2,1
'@bnavarro1115 hahah YAYYY!! we miss you so much  even moby! xP haha ya we have to find joe bahah :D',3,3
'RT @zdnetkorea ?! ???? 750??? http://tinyurl.com/ydvrwpw',1,1
'@bfrench4 what disneyworld commercial? he\'s the saints qb and is sooo cute :)',3,1
'Las year I was so stressed out I forgot I was my birthday. Didn\'t figure it out til 730 that night. My bad.',1,3
'ah twitter. oh ive missed updating you from my phone. its all over now and dont worry. back in action !',2,2
'Free Guide: Getting Your Law Firm Videos Found On YouTube http://bit.ly/9cizJb',1,1
'@reevesforreal Devote yourself to prayer  being watchful and thankful. Very good verse & a great way 2 start a day! Have a fun day in PC!',3,1
'Just back from a walk with the doggies. Got caught in a hail storm - hailstones really sting when they\'re lashing down on your face!',1,3
'to better understand me lol -> RT @whysogreen i\'m going back to school@ doing a free 5 week automotive course! :)',3,1
'Auto Insert XML-Feed in Joomla EZ-Realty by chadutz: Means we need an RSS-feed-reader component that auto inserts ... http://bit.ly/9E6qxQ',1,1
'@yourcitylights And Simon Peter answered and said  Thou art the Christ  the Son of the living God. Matthew 16:16 Jesus Loves you',3,1
'Bored with waiting for the iPad to come out so I\'ve made my own out of a journos pad and some spray mount http://yfrog.com/3lg87aj',1,2
'So I have come to the conclusions that there\'s bitches who dnt like me on here bt follow wtf I gotta say!',1,3
'Rock onRT @inrockmusic: BillZucker: I LOVE @DaveMalby @D_Old_Man @GlassRiverJewel @susancha @burkepreston (cont) http://tl.gd/7sh8m',3,1
'RT @diskopo Who wants to laugh? http://bit.ly/aBMOmR',2,1
'my clothes smell like weed  vomit and chicken. and i didnt smoke. nor vomit. and most unfortunately didn\'t eat chicken. nice -_-',2,4
'It took 2 hours rummaging through my receipt drawer only to learn I?d lost the receipt  isn?t there a better way? http://ow.ly/14Xm2',1,2
'@debontherocks Conferences have NEVER made me wish to have a child. EVER. What are you drinking @ said cons??',1,3
'I favorited a YouTube video -- Zooey Deschanel in Weeds http://youtu.be/FApZlnX_G1U?a',2,1
'@Sjoerd The tweep most like you is @frankmeeuwsen. Others are @erikvisser and @Markies. Full list at http://tweeplike.me/profile/Sjoerd',1,1
'@armaghetto ugh... if i have too much of the gogo juice i get a bad stomach ache',1,3
'Urgh i\'m soo bored and tired. text. call  anything. hmm i must find things to multi task on now!',1,4
'Guayadeque - Nice music player | Ubuntu Geek: Music Player with the aims to be intuitive  easy to use and fast eve... http://bit.ly/9NLi0v',2,1
'@Munchkin75 wahooooo! The ho-ness has been a bit too thin on the ground today! x',3,2
'Headed to human resources class. Now I know why Michael hates Toby so much.',1,3
'@mckra1g What do you call a fish with no eyes?',1,1
'listening All These Things That I\'ve Done - The Killers',1,1
'RT @AbilityAmerica: Getting Access to Health Care for People with Physical Disabilities: http://bit.ly/b3eiEJ',1,1
'I love P2P but was worried about ISPs keeping my logs. With YourPrivateVPN I don\'t have to worry anymore. http://bit.ly/aemTcO',3,2
'Best of Personal Finance Roundup: What You Need to Know About Social Security http://bit.ly/coTke5',1,1
'The @simonhuck starring of E of @jonathancheban ?SPINdustry? it creates special concerning the world of Im Exec PR! Sunday February 21...',1,1
'Bab Girls Club was FunnY ass ShyT can\'t wait Til the reuion shw',3,1
'RT @fallout: Don\'t forget to watch the #FalloutNewVegas teaser & RT for a chance to win a signed FNV poster http://bit.ly/fnvcon Must be 18+',2,1
'my moms a retard for reading my texts and thinking my most recent tweet was inapproprate',1,3
'Playgirl print magazine cover to feature teenage dad of Sarah Palin\'s grandson - The Canadian Press http://ow.ly/16xuGj',1,1
@Yung_PHENOM,1,1
'RT @Twitter_Tips: Inflated tweet count fix should be ready by tomorrow! http://j.mp/aJsnVj',1,1
'RT @keefstuart: Super Nanny takes on violent videogames: The childcare expert conclusively proves that playing shooters makes kids... http://bit.ly/abVAy4',1,1
'RT @demetriab: i #swearfolawd that betta be your navel and not your dick< and i #swearfolawd the pussy better be better than the head...lmao',2,2
'N\'Gog had a difficult game playing against Vermalen and Gallas. Still think he is better as an impact sub than a starter',2,2
'Woodstoves MAde Easy at http://bit.ly/4P90rP',1,1
'RT @BoomerLivingNow: Retirement: Don\'t Run Out of Money Before You Run Out of Time http://ow.ly/15RgI #finances #boomer #retirement',1,2
'So I missed #BGC again this wk...can some tell me wht happened',1,2
'Everyone says to give up on you  but they don\'t see you like I do.',1,2
'@zanniewee yep  sumtimes beatings or spankings ultimately lead the child 2 b more rebellious...not me tho  my momz hitz were effective lol.',2,3
'After these shows I\'m callin it a early nite  been up early and already gettin sleepy!!',1,3
'Gamepocalypse Ep.1 records tonight - send us your questions and vote on what Sean will play next! - http://shar.es/aLN9Q',1,1
'@Kurtsiegirl1827 Oh  well the Stadium of Fire thing I was talking about is in Utah...',1,1
'@pacificbrewnews No beer for me today either. But I am enjoying the 2008 Odonata Grenache.',2,1
'Free: Star Bucks Gift Card http://listia.com/1p8s',2,1
'Atlanta Nightclub VIP Tables and Bottle Service | My Favorite Sin http://is.gd/7v8ON',1,1
'o_O #thefuck?? RT @b_easy Pull out bruh RT @YNGELROYJETSON: @First_lady22 lol! Let me stop messin wit u before u get preg over twitter.',2,2
'Landed in MIN on time. No turbulence  delays  or bickering so far. Must find AC for puter to watch last Mon\'s 24 or my trip will be ruined',2,2
'@sarah_bear44 wait. goodnight sweet dreams doesn\'t mean just friends? And sorry bout the \'tide. I didn\'t feel so well',2,2
'RT @Kelsey_Grammer: So GOOGLE BUZZ is a hot topic Look at the OFFICAL GOOGLE [Video] - http://clicky.me/OfficialMI4 and you will LOVE it GO GOOGLE',3,1
'@itsonlymichelle guess whats driving on the way to my house =)',2,1
'and Verizon to reduce the fees they charge for their airtime  and now if they\'re successful w/their high speed effort  they\'ll create the',2,1
'@ClassCie I got one more song to finish :) then I will send it',2,1
'RT @ganpy: RT+1@eveningdrizzles: This needs an awareness http://beta.thehindu.com/sci-tech/energy-and-environment/article33320.ece',1,1
'RT Sorry i\'ve been quiet on the tweetside  i\'m just really into @Viewpointr right now (http://viewpointr.com) << its addictive.',1,2
'just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote.',1,2
'Having English class now  we\'re doing profiles to ning.com  not so different from my freetime :D',2,1
'@shreyaghoshal hey thats a good news. what is the name of that film.',2,1
'I just fell asleep  at the most  three and a half hours ago. Why the bitch am I awake?',1,3
'#nowplaying Cyborg ? P-Model http://bit.ly/b0Eo5C in iPod app via @twitbird',1,1
'Thanks again to Ken for this RT @@KenPlume Now on FRED: @The_No_Show interview w/ James Cameron  Emperor of Everything... http://is.gd/83OtB',2,1
'http://bit.ly/WireUF ESPN names #Gators OC/Asst Head Coach Steve Addazio National #NCAA #Sports http://goo.gl/fb/lhE4',1,1
'(3) AdilityDeal.com Coupons Deals. | Internet Coupons and Discounts: As a high school student working at a local pizza pub in Jefferso...',1,1
'A Photo Editor - Ad Agency Guide To Photography Usage Terms: As with photography  when negotiating with talent the... http://bit.ly/cvfJQU',1,1
'RT @beedle82: I just entered the competition to win a Samsung laptop. To enter  follow @smartaHQ & RT http://bit.ly/b4I200',2,1
'RT @matisyahu: Cool photo spread and interview in Wanted Magazine. Photos http://bit.ly/d5YFxH Interview http://bit.ly/bHAfUI',2,1
'#css Modify web template by jamesallwood: Hi. I have a css static template from templatemonster that I need some m... http://bit.ly/cEShVG',1,1
'Today in History: 1971 Satchel Paige becomes 1st negro-league player elected to Baseball Hall of Fame. (via @TouchByAM) (via @Alyssa_Milano)',2,1
'PANTS ON THE GROUND...CAUSE YOU #WASTED @ SCOTTS..3100 fountain view ON RICHMOND STRIP...(((ALL-STAR OFFICIAL)))PARTY FOR THURSDAY',1,1
'RT @stillgtit: If you can\'t lick or stick then I must tell you #itaintthatgoodman so introduce me to your best friend<',1,2
'Currently part of a Buzz whose sole purpose seems to be figuring out how to prevent Scoble from being a Buzz kill (lol)',2,2
'@Momodel180 pssshh yal bugging I never shovel snow a day in my life!!! Lol',2,3
'Today has been INSANE(ly good). So excited for my colleagues who have done so much great work deserving of natl recognition. #NPLAN #PHLP',4,1
'@WCooksey I\'m shocked  nay appalled  to hear that you are regularly communicating with your constituents. And caught on tape! ^',1,4
'@PHXPhoto thanks  we hope you enjoy it and welcome your input on what you\'d like to see!',3,1
'Whether you like me or not i would like to take this time out of my day and let yall know i love yall',3,2
'@MsChassMarie lol tell him i got a bottle of graduates banana flava waitin for him lmao',3,1
'Society may tolerate you  acquaintances may accept you  but friends understand you. #quote ',2,1
'It appears that you have everything under control and your pos... More for Leo http://twittascope.com/twittascope/?sign=5',2,1
'@ElijahRead Oh okay..So thats how you do?..LOL..Copy and Paste like that...LOL',2,1
'Home after Lucia\'s and Key skills this morning; had to attend due to a guest speaker talking about Uni - got me even more excited! Eeee :D',3,1
'i haven\'t watched the newest episode of LOST yet  but i do have 5555 miles on my car. so there!',2,2
'RT @OneAndOnlyZel To all my new & old friends: I know I\'m behind on my THANKS 4 follows  retweets  FF\'s  etc. 4give the lapse. I do love ya!',3,2
'RT @BenCooper86 Mervyn King says he can\'t think of any reason why the UK would lose it\'s AAA rating - now will George Osborne shut up?',1,2
'hey ive just made my twitter  how do you talk to people on heree?',1,1
'@ansaudi satria dong sa ! Si dika mah geleh ah hahahah http://myloc.me/3GiEB',2,1
'Farmville Players Send 220 Million Valentine\'s Day Virtual Gifts ...: Whenever I discuss virtual goods and the Fac... http://bit.ly/aJAiwC',1,1
'And obviously not forgetting the fact I\'m gonna feel 122356325x worse :| Oh well...',1,3
'formspring.me - what would you like for valentine?s day? yummy truffles  stargazer lillies  a donation to... http://tumblr.com/xev6brjhk',2,1
'Bob Dylan ? Lenny Bruce http://bit.ly/bTENBS',1,1
'Eh dia bos loh bdnny kok bau panas(?) yh?msh pagi loh ini http://myloc.me/3FaqI',1,1
'RT @aceshowbiz: Demi Lovato Writing New Song With Nick Jonas http://bit.ly/9CIaUO',1,1
'@YoungMac24 that\'s the only game you have?',1,2
'Even When Shit Get Hard - Im Going To - Make Sure That Im Around To Hold You [ DOWN ] - I`ll Never Leave Ya Side Until Tha Day I Die .',3,2
'http://i47.tinypic.com/2yo47qp.jpg A+  would lol again.',2,1
'to find actors of close age.. to get the book\'s description.. just like when they got daniel radcliffe for harry potter.. CONT\'D',1,1
'why do Hong Kong people like to have their air cons on SUPERCOLD!?!?! man  i need some socks or something!!!!',1,4
'RT @parismostwanted Check out @ParisMostWanted on IT\'S MY TIME and VOTE for us :) http://casting.benetton.com/users/8081-paris-most-wanted',2,1
'@sononchalant what happened to snow at 6 pm? http://myloc.me/3G5Mk',1,2
'Thank you @god for rewarding me for my crazy day. The guy at Subway gave me a free cookie  but this is muuuuch better!',3,2
'10 absolutely jaw dropping concept car designs http://ow.ly/15OnX',2,1
'i can feel that theres a growing pimple on my nose :(',1,2
'Great sunny days with @tetongravity in the beauty mountains of BC...crew was sending!',3,1
'New blog post: Can Someone Help My Bro And His Angels & Demons Obsession? http://unfake.it/0WJO',1,1
'@itsBreezeBaby whats that ?? you no me im at work = (',1,2
'Found some cool free twitter backgrounds @ http://www.onixbee.com check it out!! #backgrounds #twitter',3,1
'LMAO.. I am. But I mean this snow is annoyin RT @Nemeze: @CakeLoveK how can ur life suck u have me then ur boyfriend..btw u still with him>?',2,2
'Self defense is a state of mind  it involves every aspect of our lives  our physical  mental and emotional safety.',1,1
'@XGlitr_ObsesdX for sme reason my eyes burn too idk',1,2
'Sama2 sayang ? ? @NengMeryl: Great wednesday ? thanks to @padoeka @chiemuw @ImadhMadum et all to be the part of my superb day :)',4,1
'RT @tokyodymond_HLE: ii am leaveinq ; n imma delete my twitter ; n who wants my photoshop? <---ill take it :)',1,3
'I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you... Eph1:18',2,1
'RT @wandafay: avoid-an-audit-6-red-flags-you-should-Know http://icio.us/i420ea',1,2
'fuel-consumption data indicates weak growth http://bit.ly/bQL91T I First we had rail traffic data: Now we have this and with MSM spin  too',1,2
'RT @SleekMakeUP: Product Review - Foundation http://bit.ly/9vzY4l',1,1
'The Hollywood Reporter | Heat Vision | Comics | Movie News:Tim ...: Tim Robbins is joining the cast of Green Lant... http://bit.ly/cDRado',1,1
'Pressure mounting at Sunderland: Lorik Cana: Sunderland\'s winless run extended to 12 games following 1-1 ... http://bit.ly/dBAMHd telegraph',1,2
'@mobileadsmarket SAMSUNG MOBILE PHONES-THERE IS ONE FOR EVERYONE: South Korea during Samsung Gro... http://bit.ly/cyljCj #mobile #marketing',1,1
'Makin\' birthday macaroons that I shall drizzle with caramel sauce. Oh yeah. I do shit up BIG.',2,1
'one question  who thinks this is the real @nickjonas ? http://www.youtube.com/user/NickJonasBOUNCE',1,1
'@indu666 heh me too actually... tho kannur i still kinda alive cause a close uncle lives there.. had been thr last week for theyyam \\m/',2,1
'@crazyblu1920 Yes  according to the amt you have in your possession. Its always been like that. A Base head (my sis) told me',1,1
'@diefatdie at wok I just tell people I have eczema lol that I am itching my dry skin. Probs just as bad lol',2,2
'Ground is covered in snow outside but spring is in full bloom in attica\'s kitchen we are pouring beautiful hyacinth soy candles for the shop',3,2
'@mrmoneyman i don\'t like bein stuck in the house i\'d rather go to class',1,2
'RT @indyworld: Aerial photographs released of Twin Towers\' collapse http://bit.ly/9fVshL',1,1
'@MizLadyLipz girl bye..yuh kno not...#bgc jux came on and tha >otha otha< iznt gonna miss that...do yuh watch it??',2,1
'I am so pissed! me and my boyfriend broke up today! i broke up with him for the recorde!',1,3
'RT @bethannewatson: @Rue_La_La Yes. Exhibit A: Olivia Benson in Law and Order: SVU circa season 7 & 8.',1,1
'@danicapatrick is CSI investigating brakes tampering  or a little nitro in the engine? Gd luck in Nationwide race #nascar',1,2
'UPDATE. :) Dead nanaman ako nito. (doh) Sorry Ate Mona. :\'( http://plurk.com/p/3q1mes',1,2
'@jamesw650 omfg I cannot believe you just tweeted that? Are you effn serious with me?!',1,3
'Ninjas got mills$ I just want a couple too... So bad bout to cry? me a 50? juice?... @Chip216',1,2
'@judybopp LOL ohh i think i lost someone today realized it wasnt meant to be and hurts',2,3
'RT @nrodovsky: RT @kimjack61: @lightxxx There are people on here just waiting to help..never underestimate twitter warriors 4 Haiti!',2,1
'@DonnieWahlberg once again all the fun is overthere...... we miss you overseas :(',2,2
'you guys are so stupid  seriously. fighting over people you will NEVER get. HAHA.',1,3
'i don\'t understand. i really don\'t. this course feels wrong  hospital radio isn\'t right  and i\'m not happy.',1,3
'ArcelorMittal posts $1.68 billon loss for 2009 http://nxy.in/kemfi',1,2
'@Haley_Raschel LMAO yes it was lol I wasnt gonna put that pic up lol',2,2
'RT @HeavyHand Where is the  where is the  where is the TOILET TISSUE???? FUCK!!!!!!<~~~it\'s OK  you\'ve been blessed with 2 hands..pick 1',2,4
'@craigjettech but I really not like the spring in Macau  it\'s too wet!!',1,3
'DesignerDepot: How iPad Affects the Way we Design Websites? http://bit.ly/cpErGv http://bit.ly/avjrzf via @YoTwits',1,1
'fresh out the shower ; currently watchinq the Steve Wilkos Show.',2,1
'RT @twitterdads: [echo\'d] @EduardoCBraga: #Follow #Tuesday @darakurniawan @RAPAPLUS @AntonioTalent @twitterdads (cont) http://tl.gd/84kg3',1,1
'Decidedly not a good day. My bed never looked so welcoming.',2,2
'Jerry Reed \' Blue Moon of Kentucky\' http://www.youtube.com/watch?v=5sG22qCZ2g8&feature=rec-r2-2f-3-HM',1,1
'@CNN Darkeness in the shadows of DC. Bethesda  MD has no power for 4 days..snow  30 inches  unploughed.. is this the new America? RT',1,3
'@BrotherAlimpl is tonight\'s @worldcafe guest at 6pm on 91.3fm and wyep.org',1,1
'I just entered to win a Skooba Design Messenger Bag! Follow @anyluckyday (daily contests) and comment to win http://bit.ly/cizppc',2,1
'Hot Deal! Me to You Love You ?4 off from H Samuel http://tinyurl.com/yzl4s89',2,1
'is nobody going to join my -we are englsih and dont like english summer\'s- crew? ;)',2,2
'@MAYHEM_VS1 word I think he a Brooklyn nigga lol',2,2
'@Justin_Tyrel Ur my sheep?? And @XhollywoodheroX Is Lil Bow trash heep lmao owwww',1,1
'@molesworth_1 bit of both with a meeting thrown in for good measure. What time you off down the track?',2,1
'thanks snowmageddon for getting me out of tomorrow\'s test! you\'re the best (until shoveling time comes  that is.)',3,1
