@relation 'Twitter Sentiment Analysis Sanders Dataset. More info at: http://sananalytics.com/lab/twitter-sentiment/'

@attribute content string
@attribute topic string
@attribute Class {positive,neutral,negative}

@data
'Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s',apple,negative
'@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.',apple,neutral
'The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss',apple,negative
'@Apple will be adding more carrier support to the iPhone 4S (just announced)',apple,positive
'Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie\'s robot daughter?',apple,neutral
'Hilarious @youtube video - guy does a duet with @apple \'s Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY',apple,positive
'Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE',apple,neutral
'Asked siri is she dreams of electric sleep. Was disappointed that she didn\'t have a snippy answer.  Missed opportunity @apple',apple,negative
'Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple',apple,neutral
'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!',apple,positive
'I just realized that the reason I got into twitter was ios5 thanks @apple',apple,positive
'I\'m a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone',apple,positive
'People are waiting in line @apple for phones at 1:30 on a Tuesday! Don\'t you people have Jobs(no pun intended?)???',apple,neutral
'@paulens It surprises me that @Apple throws up an error alert about authorizing and there\'s no &quot;Authorize this computer&quot; button.',apple,negative
'@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!',apple,negative
'@Apple Would much rather get outta this having a ( see pic ) and have fun with this &quot; Have your friends choose music&quot; http://t.co/7IiHbr4J',apple,neutral
'FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.',apple,negative
'Oh @apple. Steve obviously had nothing to do with iPhoto as it\'s the perfect opposite of \'insanely great\'. Get it fixed please.',apple,negative
'OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS',apple,negative
'RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon',apple,neutral
'@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise??????? why doesn\'t it just auto-authorise it when I sign into iTunes? Grrrr...',apple,negative
'Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot; nor how to do it.',apple,negative
'Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? &quot;You must authorize this computer???????&quot;',apple,negative
'@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker',apple,neutral
'@leg3nd @apple the new iPhone?',apple,neutral
'shit shit shit. IOS5 update ate all my apps data and media just like @apple said it would. This is going to take some time to rebuild.',apple,negative
'If you\'ve been struggling to get hold of me I\'m back online with a new iPhone - thanks @apple',apple,neutral
'Hey @Apple pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said your hold music is crap.',apple,neutral
'. @apple &amp; @AT&amp;T u cannot tell me there isn\'t at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!',apple,negative
'Amazing story of @dropbox and @apple http://t.co/r4oDCwvY',apple,neutral
'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance',apple,negative
'Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon',apple,neutral
'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity',apple,negative
'I am so done with @Att and @apple \'s profitering and lack of customer service so fucking down with both!!!',apple,negative
'It would be great If @Apple would send my new phone. #frustrated',apple,negative
'@Jake_Gyllenhaal So you\'ve made up with @Apple?',apple,neutral
'@Apple has a pic of Steve Jobs on their home page. #Honor',apple,neutral
'The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace',apple,positive
'Great up close &amp; personal event @Apple tonight in Regent St store!',apple,positive
'@apple thank you for ruining my 3GS with #iOS5. You\'ve just turned my phone into an utterly useless pile of shit.',apple,negative
'@Apple to shut stores!!! C\'mon Only Wednesday for @SteveJobs memorial.',apple,neutral
'@rogerweir no but I have the option of a  replacement iPhone 4s ?Not sure if I want one after having 2 duff iPhones.@O2 @iphone4s @apple',apple,negative
'@Motorola is the Best Android-powered company that is going against @Apple.',apple,neutral
'@apple #readyfor5.0.1 http://t.co/M2FqakYr',apple,neutral
'From which companies do you experience the best customer service aside from @zappos and @apple?',apple,positive
'So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?',apple,negative
'You know @apple It\'s been almost a week since I paid for iTunes Match I would really like to use it. Any ETA on a fix?',apple,negative
'This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.',apple,neutral
'Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw',apple,neutral
'The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw',apple,neutral
'#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps',apple,neutral
'Just apply for a job at @Apple hope they call me lol',apple,positive
'RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol',apple,positive
'Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol',apple,positive
'@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy',apple,neutral
'removing all @apple shit.',apple,negative
'macbreak weekly @TWiT via @apple airplay in full HD on the 42&quot;. finally! @leolaporte @Ihnatko @alexlindsay',apple,neutral
'So @PhoenixSwinger \'s iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple',apple,negative
'RT @PhillipRowntree: Just registered as an @apple developer... Here\'s hoping I can actually do it... Any help greatly appreciated!',apple,positive
'Stay young stay foolish. But take ownership when u f*ck up don\'t complain and never give up. #resilience @apple',apple,neutral
'Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple',apple,positive
'Dear @motorola I smell a lawsuit coming your way. cc: @apple #motoactv',apple,neutral
'What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR\'s battery isn\'t removable.',apple,negative
'Just registered as an @apple developer... Here\'s hoping I can actually do it... Any help greatly appreciated!',apple,positive
'@Apple can\'t send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend \'em',apple,negative
'Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise',apple,negative
'RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone http://t.co/qmPLbZxx',apple,neutral
'???????????? ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones &amp; their uber useful flashcard apps  ????????????????',apple,positive
'@bisquiat @Apple the upgrade just slows down my phone so much it\'s stuck half the time. uch. thankfully no other damage. sucks for you :(',apple,negative
'@apple Or @Microsoft Buying Out @RIM ?',apple,neutral
'@Mayati I think @Apple didn\'t do such a thorough job with the step x steps for upgrade and move to iCloud. Now it\'s cost me mightily.',apple,negative
'Hey @apple now I have iOS5 my iPhone doesn\'t include songs that are on compilation albums under the artist\'s name. #whaddupwitdat',apple,negative
'Oh no! @Apple watch out! @Motorola released another &quot;iPhone Killer&quot;.... Hahahahaha! @Motorola = #wannabe',apple,positive
'@apple Why don\'t you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone',apple,neutral
'Come to the dark side ???????@gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.???????',apple,positive
'@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO',apple,negative
'RT @HaendelBalzora: dear @apple please invent &quot;FaceTime Voicemails.&quot; sincerely haendel balzora jr. #apple',apple,neutral
'@HaendelBalzora @apple #gamechanger',apple,positive
'Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.',apple,positive
'Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards',apple,positive
'#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps',apple,neutral
'Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can\'t believe this is same co. that makes all that cool shit.',apple,negative
'dear @apple please invent &quot;FaceTime Voicemails.&quot; sincerely haendel balzora jr. #apple',apple,neutral
'RT @jesperordrup: Hi @apple. Household has 4 iphones 2 ipads 2 minis 2 apple tv AirPorts Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox',apple,neutral
'Couldnt help it &amp; explored the #iphone4s @apple store &amp; talked to #Siri... Should\'ve tried to speak to her in French?! #nexttime',apple,neutral
'@FishMama: If you made a purchase just wait for the @apple survey! hate going b/c of the bad #custserv',apple,negative
'Just got my first @Apple iPhone sorry @Blackberry another one bites the dust.',apple,positive
'Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn\'t resolve after 1/2 day w/ @ATT &amp; @Apple. Hero of my day!',apple,negative
'@phxguy88 @Apple @BGR That\'s why all the ppl who stand in line for hrs to get the &quot;newest&quot; model are suckers...',apple,negative
'Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.',apple,negative
'is it just me or do other people miss the iPod symbol on the iPhone? I had the first iPod it\'s what I relate to @apple #ios5 #nostalgia',apple,neutral
'Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.',apple,positive
'RT @danysaadia: @ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?',apple,neutral
'@ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?',apple,neutral
'RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy',apple,neutral
'@APPLE Wow @MOTOROLA Just crushed your dreams....',apple,negative
'Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.',apple,negative
'RT @phxguy88: Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR',apple,negative
'Hi @apple. Household has 4 iphones 2 ipads 2 minis 2 apple tv AirPorts Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox',apple,neutral
'Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR',apple,negative
'RT @edatpost: Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn',apple,neutral
'#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits',apple,neutral
'@apple you need to get serie in canada you will get so much more money',apple,neutral
'Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant',apple,neutral
'@Apple you need to make it easier for people to know what songs that have downloaded from iTunes:  http://t.co/8iAaraLR',apple,negative
'Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn',apple,neutral
'@apple No I won\'t wait until thursday for an available appointment just so a \'genius\' can tell me I\'m shit out of luck. #now',apple,negative
'Evolution of @Apple Ads 1975-2002: http://t.co/QTOqOZ42 @thesavoia #stevejobs #tech #art',apple,neutral
'@DailyDealChat @apple Thanks!!',apple,positive
'WTF?!?! @apple the new iOS 5 doesn\'t allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!',apple,negative
'@apple #siri http://t.co/k7b686hX',apple,neutral
'.RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/LCTPxHF5',apple,neutral
'@Apple on the #iPad with #iOS5 why has the Messages Icon been included when it can\'t be used?',apple,negative
'@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&amp;T',apple,negative
'RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn',apple,neutral
'iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes',apple,positive
'Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii',apple,negative
'@apple..good ipad',apple,positive
'RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G',apple,neutral
'.@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn',apple,neutral
'@apple @siri is efffing amazing!!',apple,positive
'RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!',apple,neutral
'@apple why is my iPhone battery so crappy #fail',apple,negative
'@bidmyway I like your app for the @apple iPhone very simple and easy to use!',apple,neutral
'Thanks @Apple. Now even more people on the bus are talking to inanimate objects. Harder than ever to tell who\'s crazy and who\'s hip.',apple,neutral
'My @Apple @macbook keyboard will not type :(',apple,negative
'Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM',apple,positive
'Noticed how @apple has added the like &amp; tweet icons on their page? http://t.co/PZoNZeC8 #like #facebook #tweet',apple,neutral
'RT @TripLingo: We\'re one of a few &quot;Featured Education Apps&quot; on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z',apple,positive
'@apple shorty a p.c me im a #mac',apple,neutral
'@rtimbuc thx for publicly coming out out of the @Apple closet ... :)',apple,neutral
'Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps',apple,neutral
'We\'re one of a few &quot;Featured Education Apps&quot; on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z',apple,positive
'@RIM to release new generation of phones in the new year to contend with @Apple... Hmmm.',apple,neutral
'When you want something done right you do it yourself... or go to @Apple. AT&amp;T you\'re useless these days. #yourdaysarenumbered??????????????????',apple,positive
'@RIM to release new generate of phones in the new year to contend with @Apple... Hmmm.',apple,neutral
'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16',apple,positive
'&lt;3 #ios5 @apple',apple,positive
'@lynnwi I wish. @apple isn\'t known for giving users options besides blue or gray???????..',apple,negative
'Will Siri come in spanish with a female latino voice? Or it will be a voice from spain? @apple',apple,neutral
'---???? RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?',apple,positive
'@Apple has THE WORST customer tech support. EVER.',apple,negative
'RT @TimjwDowning: #iOS 5  is a great system but it\'s taken all day to download @apple',apple,neutral
'Using @Apple\'s mobile @AirPort Utility http://t.co/TiDpaHYC',apple,neutral
'Why doesn\'t @apple iCloud sync Stickies? They\'ve always been around just nothing every progressed w/ them!! Why apple why?  @gruber',apple,negative
'@Dropbox balked at acquisition by @Apple. My apps thank them. :)  http://t.co/VsYPl9Xu',apple,neutral
'@apple your new &quot;Save a Version&quot; function in Pages is absolutely the most awful interrupting counter-intuitive piece of crap in the world',apple,negative
'These cos are worth billions: @Apple @Facebook @Google &amp; @Amazon and they are battling for consumers  http://t.co/4WxPCH9h via @fastcompany',apple,neutral
'Dear @Apple I should not have to hack my 10.7 Lion Mac to make it useable:   http://t.co/6cQsL4qw',apple,negative
'RT @imightbewrong: I\'m OVER people bitching about the #iPhone4S... I think it\'s the smartest phone I\'ve ever had and I\'m very happy.   :)  Way to go @Apple!',apple,positive
'@Adobe and @apple.   With the new CEO will the iPhone and iPad finally get flash support?  http://t.co/lS7gfxi3',apple,neutral
'I hate my @apple computer.  Thats 3500 dollars down the drain.',apple,negative
'Anyone else angry because @apple pulled everyone\'s access to the Siri App just so they could make it exclusive to the new iPhone 4S? RT THIS',apple,negative
'Just when #TomCruise thought he had a unique name for his daughter @Apple pulls the rug out from under him with the new #Siri App.',apple,neutral
'I wonder If the person who has @apple is holding out for apple to buy it from them',apple,neutral
'I\'m OVER people bitching about the #iPhone4S... I think it\'s the smartest phone I\'ve ever had and I\'m very happy.   :)  Way to go @Apple!',apple,positive
'@apple my iPhone is charging very slowly!!!!!',apple,negative
'iOS 5 for iPhone and iPad is Here: Apple\'s Best Release Yet?  http://t.co/iLYGZ5Ox #ios5 #ios @apple #ipad #tablet',apple,neutral
'@Twitter CEO points to @Apple as \'corporate mentor\' as @iOS signups triple http://t.co/GCY8iphN',apple,positive
'The \'Great Tech War\': @Apple @Facebook @Google @Amazon battle for the future http://t.co/sVu8cG1M via @fastcompany',apple,neutral
'@BeeeThree I am aye I wasn\'t @apple',apple,neutral
'How the community saw #SteveJobs - 12 Most #Community &quot;iCelebrates&quot; Steve Jobs - http://t.co/jJRwIvmc @Apple',apple,neutral
'@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem or give me the ipad2',apple,negative
'Steve Jobs\' unconventional #leadership secret - ACC SmartBrief: http://t.co/CY6VxRnF &gt; @Apple #sm #HR #NEHRA',apple,neutral
'@apple Wish I could pick month day and YEAR when setting a new calendar item on my iPhone. Why hasn\'t the new iOS fixed this yet?!',apple,negative
'9 apps in the AppStore New section aren\'t new just updated. There should be a rule against that. Also why is @apple\'s POS apps always first',apple,negative
'sorry to say @apple But Your new Iphone IOS5 update Sucks a Fatty!!!!!!!!!!!!!!!!!! #SmokingPoleSucking',apple,negative
'RT @aplusk: Sending love &amp; light to everyone @Apple &amp; the entire Jobs family.Today we lost a Giant who will be missed even by those who didn\'t know him.',apple,neutral
'@apple store NY',apple,neutral
'Attending #mobilemem  listening to James Kelley from @apple .',apple,neutral
'RT @zaza_04: I really want Siri on my iPad 2 ! It has Cydia @apple @i0n1c @saurik',apple,neutral
'@Apple iTunes is the worst program ever. For such a great phone you make some awful software.',apple,negative
'Tell how Steve Jobs &amp; @Apple changed your life and $5 will be donated to Pancreatic #Cancer Research! @PanCAN @Pan_Act http://t.co/BWzganje',apple,neutral
'We have been using a Mac SE for the clock in my office for at least the last 6+ years and today it died. So sad. cc:@apple',apple,neutral
'yeah @apple is updated!! planking photos #lmaoo http://t.co/IusXJJDq',apple,neutral
'picking up my #iPhone4S in two hours @Apple!',apple,neutral
'@DickCostolo says daily #twitter signups have TRIPLED since the new @apple #iphone4S came out',apple,neutral
'yes i am live tweeting my @apple tech support call. Isn\'t this fun?',apple,neutral
'At the bus with my iPhone ;) thxx @apple',apple,positive
'@DickCostolosays daily #twitter signups have TRIPLED since the new @apple #iphone4S came out',apple,neutral
'One would think the voice recognition on the @apple tech support line would work a little better.',apple,negative
'@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.',apple,positive
'@azee1v1 @apple @umber Better file info/easier to get to duplication of files when importing. Categorizing files.',apple,neutral
'ok @apple now we got our iOS5 and #icloud can we please have #LogicX',apple,neutral
'@apple $319 to repair my iPad 2 Apple you\'ve lost me and my $700 a year Android here I come!',apple,negative
'@AsimRang @apple @umber well so far ive seen it for apps',apple,neutral
'Hello again iPhone 4!!! Thank you @apple! Although this should have never broken in the first place! #tsk',apple,neutral
'@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before',apple,neutral
'So I updated my #iphone last night. It took over six hours and the majority of my apps didn\'t transfer. Thanks @apple',apple,negative
'@Apple @Facebook @Google and @Amazon battle in...The Great Tech War of 2012 http://t.co/uL9zZKv8 by @fmanjoo',apple,neutral
'@azee1v1 @apple @umber Proper consolidation proper syncing stop losing my PURCHASED items checkboxes that do what you think they will do.',apple,negative
'@AsimRang @apple @umber the desktop app is wack though',apple,negative
'@AsimRang @apple @umber the podcasts feature works just fine music purchasing is straight forward what else do you want?',apple,neutral
'I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm',apple,negative
'???????@NoVaTyler: @Foreverfit4u amazing how quickly apple went down the poop tube??????? It couldn\'t have 2do w/operator error! #sarcasm Still ?????? @apple',apple,neutral
'RT @Apple We destroying you next RT @therealterica: Duh #TeamAndroid RT @JuanHustle I got a feeling we living in the last days of Blackberry',apple,neutral
'@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI',apple,neutral
'@Apple In #iOS5 why I can\'t put the Newstand app in a folder? Very annoying. #iPhone',apple,negative
'#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/AAP7StHt #PampersHelloApps',apple,neutral
'What a fantastic service I\'ve been given by Malcolm and Dom at Manchester\'s @apple Store! Thank you guys!! :-)',apple,positive
'the new @apple ios deleted at least half my apps. not cool.',apple,negative
'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad',apple,positive
'Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight',apple,negative
'Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can\'t handle it. 200 mb of data just because #',apple,negative
'Been MIA from Twitter.. But now Tweeting from my new @apple iPhone! :) #finallycool #notreally well It IS ..I\'m not :) #stilllearning',apple,neutral
'@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA',apple,positive
'#DontBeMadAtMeBecause #Android is by far better than @Apple',apple,negative
'@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.',apple,negative
'@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt',apple,negative
'@AsgariAJ #iPhone need to tell @Apple that',apple,neutral
'Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.',apple,negative
'Upgrded MacbookAir to 10.7.2 iPhone to iOS5. Now iPhoto doesn\'t open + iPhone apps r missing. Very buggy upgrades. @apple #applefail #fail',apple,negative
'Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!',apple,negative
'@Mommy_gaga #Win an @Apple iPod Touch @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps',apple,neutral
'Time for a quick shower then on to the @apple store to fix some phones and teach some 1to1\'s',apple,neutral
'Need to update my apps. ): my apple ID is disabled.. Don\'t know what to do.. @apple @AppStore @itunes @Siri_Assistant',apple,neutral
'Wtf @apple 64 pages for the new terms &amp; conditions when u update ur apps from the iTunes store. Do u really think we\'ll read em? Really???',apple,negative
'eating @apple xDD',apple,neutral
'I wonder if @Apple OSX will get built-in @Twitter @support like iOS5. That would be very helpful at the moment.',apple,neutral
'Spell check needed when saving documents - fingers crossed Steve Jobs left that nugget of technology behind on the @Apple to do list. :)',apple,neutral
'@Apple Stores to close for one hour on October 19 to watch #SteveJobs #memorial http://t.co/fbjqb5RA via @9to5mac #tech #porchista',apple,neutral
'@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won\'t be enough for everyone!',apple,positive
'iPhone 4S vs Canon 5D MKII. @apple @canon @iphone http://t.co/PvKqad33',apple,neutral
'@Samsung wants to ban @Apple iPhone 4S in Japan and Australia. http://t.co/hWA4tWIc #smartphonewar',apple,neutral
'Siri says some weird things | This is my next... http://t.co/H8n7caSg via @verge @hasanga @mohoisham @apple #Siri #LMFAO',apple,neutral
'@apple karaoke ceel w/ @nandamaulida @putriasmara @galuhoktriana @milatus :p',apple,neutral
'The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @G???????http://t.co/PxUlr5dw',apple,neutral
'@bkad5161 than apologize to @apple ;)',apple,positive
'Well I finally got ios 5 but my movie got deleted...now I can\'t watch it without repurchase. Whaddya think @apple?',apple,neutral
'fuck u @apple',apple,negative
'oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it',apple,negative
'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple',apple,negative
'. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed',apple,negative
'The day starts with ME Winning an @apple iPod @darasdhaba ... Not a Bad Start I say! http://t.co/ZDmnDnp6',apple,neutral
'I have 4 @Apple products...',apple,neutral
'@SamsungMobileUS @Apple would disagree with you right now.',apple,neutral
'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX',apple,positive
'iMessage doesn\'t show the time a message was sent annoying @apple',apple,negative
'Lmfao look at the argument I had with Siri !!@ijustine @apple http://t.co/D4VjL7SI',apple,positive
'Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL',apple,neutral
