% The NRC Affect Intensity Lexicon v0.5
% www.saifmohammad.com/WebPages/AffectIntensity.htm
% Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)
%
% The NRC Affect Intensity Lexicon is a list of English words and their
% associations with four basic emotions (anger, fear, sadness, joy). 
%
% Words can be associated with different intensities (or degrees) of an emotion.
% For example, most people will agree that the word condemn is associated with a
% greater degree of anger (or more anger) than the word irritate. However,
% annotating instances for fine-grained degrees of affect is a substantially more
% difficult undertaking than categorical annotation: respondents are presented
% with greater cognitive load and it is particularly hard to ensure consistency
% (both across responses by different annotators and within the responses produced
% by the same annotator). Here, for the first time, we create an affect intensity
% lexicon with real-valued scores of association using best--worst scaling.
% 
% For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
% that the word conveys the highest amount of emotion X.  A score of 0 means that
% the word conveys the lowest amount of emotion X.
% 
% Details of the lexicon are in this paper.
% Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.
%
% The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
% joy, and sadness. (We will soon be adding entries for four more emotions: trust,
% disgust, anticipation, and surprise. We will also be adding entries for valence,
% arousal, and dominance.)	It includes common English terms as well as terms
% that are more prominent in social media platforms, such as Twitter. It includes
% terms that are associated with emotions to various degrees. For a given emotion,
% this even includes some terms that may not predominantly convey that emotion (or
% that convey an antonymous emotion), and yet tend to co-occur with terms that do.
% (Antonymous terms tend to co-occur with each other more often than chance, and
% are particularly problematic when one uses automatic co-occurrence-based
% statistical methods to capture word--emotion connotations.)



@relation 'The NRC Affect Intensity Lexicon v0.5. More info at:www.saifmohammad.com/WebPages/AffectIntensity.htm'

@attribute term string
@attribute anger_Score numeric
@attribute fear_Score numeric
@attribute sadness_Score numeric
@attribute joy_Score numeric

@data
ambition,?,?,?,0.578
ambulance,?,0.484,?,?
ambush,0.661,0.688,?,?
amen,?,?,?,0.424
amicable,?,?,?,0.469
amnesty,?,?,?,0.328
amour,?,?,?,0.607
amuse,?,?,?,0.788
amused,?,?,?,0.766
amusement,?,?,?,0.719
amusing,?,?,?,0.625
anaconda,?,0.75,?,?
anarchism,0.714,0.688,?,?
anarchist,0.765,0.75,?,?
anarchy,0.636,0.75,?,?
anathema,0.485,0.422,0.562,?
anchorage,?,?,0.25,?
angel,?,?,?,0.594
angelic,?,?,?,0.688
anger,0.811,?,?,?
angered,0.916,?,?,?
angermanagement,0.469,?,?,?
angina,?,0.578,?,?
angriest,0.864,?,?,?
angry,0.824,?,?,?
angrytweet,0.812,?,?,?
angst,?,?,0.598,?
anguish,0.5,0.703,0.902,?
animated,?,?,?,0.515
animosity,0.652,0.469,0.438,?
animus,0.5,?,?,?
annihilate,0.898,0.953,?,?
annihilated,0.865,0.859,0.828,?
annihilation,0.912,0.875,0.828,?
annoy,0.52,?,?,?
annoyance,0.422,?,?,?
annoyed,0.485,?,?,?
annoyin,0.545,?,?,?
annoying,0.47,?,?,?
annoys,0.4,?,?,?
annulment,?,?,0.44,?
anomaly,?,0.359,?,?
antagonism,0.609,?,?,?
antagonist,0.545,?,?,?
antagonistic,0.606,?,?,?
anthrax,?,0.859,0.6,?
antichrist,0.656,0.641,?,?
antipathy,0.406,?,?,?
antisocial,0.344,0.324,0.531,?
antithesis,0.5,?,?,?
antsy,?,0.375,?,?
anxiety,0.344,0.594,0.5,?
anxietyattack,?,0.797,?,?
anxious,?,0.518,?,?
apache,?,0.281,?,?
apathetic,?,?,0.438,?
apathy,?,?,0.281,?
apocalypse,?,0.844,?,?
apologize,?,?,0.37,?
appalling,?,0.562,?,?
apparition,?,0.547,?,?
appendicitis,?,0.547,0.438,?
applause,?,?,?,0.621
appreciated,?,?,?,0.682
appreciates,?,?,?,0.703
appreciation,?,?,?,0.656
apprehend,?,0.562,?,?
apprehension,?,0.453,?,?
apprehensive,?,0.578,?,?
approve,?,?,?,0.453
approved,?,?,?,0.486
ardent,?,?,?,0.25
areyoukidding,0.468,?,?,?
areyoukiddingme,0.409,?,?,?
argh,0.391,?,?,?
arghh,0.562,?,?,?
arghhhh,0.547,?,?,?
argue,0.734,?,?,?
argument,0.545,?,?,?
argumentation,0.515,?,?,?
arguments,0.404,?,?,?
arid,?,?,0.203,?
armament,0.47,0.656,?,?
armaments,?,0.636,?,?
armed,0.7,0.703,?,?
armor,?,0.484,?,?
armored,?,0.469,?,?
aromatherapy,?,?,?,0.409
arraignment,0.203,0.45,0.359,?
arrogant,0.461,?,?,?
arsehole,0.624,?,?,?
arseholes,0.719,?,?,?
arsenic,?,0.703,0.484,?
arson,0.641,0.794,?,?
art,?,?,0,0.234
artillery,?,0.625,?,?
artwork,?,?,?,0.265
asap,?,0.191,?,?
ashamed,?,?,0.719,?
ashes,?,?,0.377,?
asleeep,0.059,?,?,?
asp,?,0.438,?,?
aspiration,?,?,?,0.485
aspire,?,?,?,0.516
aspiring,?,?,?,0.618
assail,0.594,0.578,?,?
assailant,0.691,0.703,0.536,?
assassin,0.703,0.875,0.734,?
assassinate,0.912,0.906,?,?
assassination,0.859,0.828,0.797,?
assault,0.859,0.891,?,?
assessment,?,0.172,?,?
asshole,0.606,?,?,?
asteroid,?,0.469,?,?
astonishment,?,?,?,0.547
astray,?,0.32,?,?
asylum,?,0.547,?,?
atherosclerosis,?,0.531,0.5,?
atone,?,?,?,0.197
atpeace,?,?,?,0.727
atrocious,0.706,?,?,?
atrocity,0.814,0.672,0.859,?
atrophy,?,0.438,0.719,?
attack,0.853,0.797,?,?
attacking,0.865,0.859,0.531,?
attentionseeker,0.25,?,?,?
attentionseekers,0.163,?,?,?
attenuation,?,?,0.344,?
attorney,0.152,0.188,?,?
audition,?,0.156,?,?
auditions,?,0.266,?,?
auditor,?,0.297,?,?
aura,?,?,?,0.493
auspicious,?,?,?,0.391
austere,?,0.47,0.359,?
authentic,?,?,?,0.364
autocorrect,0.015,?,?,?
autopsy,?,0.557,0.562,?
autumn,?,?,?,0.254
avalanche,?,0.703,0.453,?
avarice,0.49,?,?,?
avenger,0.485,?,?,?
averse,0.338,0.483,?,?
aversion,0.44,0.283,?,?
avoid,?,0.297,?,?
avoidance,?,0.344,?,?
avoiding,?,0.391,?,?
award,?,?,?,0.727
awards,?,?,?,0.609
awesomeness,?,?,?,0.926
awful,0.409,0.672,0.641,?
baby,?,?,?,0.5
backbone,0.203,?,?,?
backoff,0.469,?,?,?
backtrack,?,0.151,?,?
backwater,?,?,0.255,?
bacteria,?,0.578,0.328,?
bacterium,?,0.531,?,?
bad,0.453,0.375,0.422,?
badday,?,?,0.439,?
badfeeling,?,0.516,?,?
badger,0.406,?,?,?
badhabit,?,0.242,?,?
badly,?,?,0.455,?
badness,0.536,0.539,?,?
bailiff,?,0.147,?,?
bait,?,0.219,?,?
balance,?,?,?,0.275
bale,?,0.297,?,?
balm,?,?,?,0.152
bane,0.511,0.356,?,?
bang,0.422,0.652,0.25,?
banger,0.424,0.266,?,?
banish,0.509,0.688,0.697,?
banished,0.5,0.562,0.688,?
banishment,0.422,?,0.79,?
bankrupt,?,0.375,0.609,?
bankruptcy,0.221,0.359,0.5,?
banquet,?,?,?,0.303
banshee,0.561,0.641,0.391,?
baptismal,?,?,?,0.368
barb,0.422,?,?,?
barbarian,?,0.62,?,?
barbaric,0.812,0.859,?,?
bargaining,0.167,?,?,?
barge,0.396,?,?,?
bark,0.365,?,?,?
barks,0.364,?,?,?
barren,?,?,0.67,?
barricade,?,0.375,?,?
barrier,0.287,?,?,?
bases,?,0.156,?,?
basketball,?,?,?,0.062
bastard,?,?,0.366,?
bastarding,0.719,?,?,?
bastards,0.741,?,?,?
bastion,0.413,?,?,?
bath,?,?,?,0.182
bathtub,?,?,?,0.156
battalion,0.471,?,?,?
batter,0.636,0.453,?,?
battered,?,0.667,0.734,?
battery,0.609,?,?,?
battle,0.697,?,?,?
battled,0.712,0.615,0.5,?
battlefield,?,0.656,?,?
bawl,?,?,0.594,?
bayonet,0.453,0.422,?,?
bday,?,?,?,0.672
beach,?,?,?,0.5
beaches,?,?,?,0.375
beam,?,?,?,0.456
beaming,?,?,?,0.938
bear,0.266,0.524,?,?
bearish,0.562,0.344,?,?
beast,0.562,0.734,?,?
beastly,?,0.688,?,?
beating,0.849,0.609,0.652,?
beautification,?,?,?,0.703
beautiful,?,?,?,0.781
beautify,?,?,?,0.601
beauty,?,?,?,0.621
bee,0.152,0.234,?,?
beer,?,?,?,0.141
befriend,?,?,?,0.455
beg,?,?,0.484,?
beggar,?,?,0.422,?
beginnings,?,?,?,0.422
behappy,?,?,?,0.734
behemoth,?,0.439,?,?
belittle,0.531,0.344,0.672,?
belligerent,0.841,0.594,?,?
bellows,0.562,?,?,?
belt,0.364,0.266,?,?
benevolence,?,?,?,0.469
benign,?,?,?,0.074
bereaved,?,?,0.92,?
bereavement,?,?,0.922,?
berserk,0.812,?,?,?
bestdayever,?,?,?,0.938
bestfeeling,?,?,?,0.712
bestfriends,?,?,?,0.682
bestial,?,0.639,?,?
besties,?,?,?,0.656
betray,0.625,?,0.594,?
betrayal,0.561,?,0.734,?
betrayed,?,?,0.848,?
betrothed,?,?,?,0.485
beware,?,0.547,?,?
bewildered,?,0.438,?,?
bewilderment,?,0.312,?,?
bias,0.345,?,?,?
bickering,0.578,?,?,?
bier,?,0.422,0.5,?
bigday,?,0.109,?,?
biggestfear,?,0.797,?,?
bigot,0.603,0.422,?,?
bigoted,0.53,0.281,0.574,?
bile,0.515,?,?,?
biopsy,?,0.516,?,?
birch,0.135,0.172,?,?
birth,?,0.203,?,0.453
birthday,?,?,?,0.691
birthplace,0.051,?,?,?
bitch,0.803,0.297,0.406,?
bitterly,0.609,?,0.625,?
bitterness,0.594,?,0.578,?
bittersweet,?,?,0.453,?
black,?,?,0.281,?
blackmail,0.55,0.612,?,?
blackness,?,0.484,0.375,?
blackout,?,0.406,?,?
blame,0.484,?,?,?
blasphemous,0.712,?,?,?
blasphemy,0.576,?,?,?
blast,0.606,0.688,?,?
blatant,0.42,?,?,?
blaze,0.578,?,?,?
bleak,?,?,0.656,?
bleeding,?,0.609,0.673,?
blemish,0.136,0.266,0.31,?
bless,?,?,?,0.561
blessed,?,?,?,0.833
blessing,?,?,?,0.844
blessings,?,?,?,0.75
blight,?,0.312,0.591,?
blighted,?,?,0.656,?
blindfold,?,0.266,?,?
blindly,?,?,0.344,?
blindness,?,?,0.516,?
bliss,?,?,?,0.971
blissful,?,?,?,0.879
blizzard,?,0.656,?,?
blob,?,0.5,?,?
blockade,0.409,0.582,0.234,?
blood,?,0.525,?,?
bloodshed,0.864,0.859,0.836,?
bloodthirsty,0.875,0.922,?,?
bloody,0.781,0.781,0.806,?
bloom,?,?,?,0.5
blossom,?,?,?,0.53
bluddy,0.562,?,?,?
blue,?,?,0.4,?
blues,?,0.219,0.438,?
blunder,?,?,0.219,?
bogus,0.273,?,?,?
boisterous,0.307,?,?,0.667
bomb,0.766,0.935,0.621,?
bombard,0.641,0.74,?,?
bombardment,0.606,0.844,?,?
bomber,?,0.734,0.547,?
bombers,?,0.797,?,?
bombing,?,0.938,?,?
bonanza,?,?,?,0.812
bondage,?,0.547,0.328,?
bonding,?,?,?,0.469
bonus,?,?,?,0.547
boo,?,?,0.094,?
books,?,?,?,0.136
bookstore,?,?,?,0.125
boooo,?,?,0.219,?
boredom,?,?,0.235,?
bothering,0.344,?,0.435,?
bottom,?,?,0.223,?
bottomless,?,0.359,?,?
bountiful,?,?,?,0.667
bounty,?,?,?,0.485
bouquet,?,?,?,0.484
bout,0.5,?,?,?
bouttime,?,?,?,0.212
boxing,0.394,?,?,?
boyfriend,?,?,?,0.48
brat,0.351,?,?,?
brawl,0.861,0.688,?,?
brazen,0.5,?,?,?
break,?,?,?,0.156
breakdown,?,0.469,?,?
breakfast,?,?,?,0.242
breakingnews,?,0.25,?,?
breakup,?,?,0.609,?
breathtaking,?,?,?,0.728
breeze,?,?,?,0.297
breezy,?,?,?,0.219
bridal,?,?,?,0.531
bride,?,?,?,0.471
bridegroom,?,?,?,0.469
bridesmaid,?,?,?,0.338
brigade,?,0.547,?,?
brighten,?,?,?,0.719
brightens,?,?,?,0.682
brighter,?,?,?,0.625
brilliant,?,?,?,0.859
brimstone,0.392,0.391,?,?
brisk,?,?,?,0.212
broil,0.516,?,?,?
broke,?,0.438,0.484,?
broken,0.359,0.531,0.594,?
brokenheart,?,?,0.792,?
brotherly,?,?,?,0.516
brrr,0.328,?,?,?
brunt,0.5,?,?,?
brutal,0.719,0.828,?,?
brutality,0.959,0.922,?,?
brute,0.581,0.5,0.391,?
bubble,?,?,?,0.141
buck,?,0.234,?,?
buddha,?,?,?,0.273
buddhism,?,?,?,0.266
buddhist,?,?,?,0.281
buddy,?,?,?,0.427
buffering,0.279,?,?,?
buffet,0.029,?,?,?
bug,?,0.188,?,?
bugaboo,0.273,0.328,0.304,?
bully,0.688,0.656,0.578,?
bum,?,?,0.438,?
bummed,?,?,0.547,?
bummer,0.139,?,0.439,?
bunker,?,0.375,?,?
burdensome,?,0.422,0.634,?
burglar,?,0.594,?,?
burial,0.304,0.703,0.812,?
buried,?,0.531,0.703,?
burke,0.364,0.359,0.234,?
bury,?,?,0.781,?
buss,?,?,?,0.136
busted,0.455,0.516,?,?
butcher,0.578,0.609,?,?
buzz,?,0.234,?,?
buzzing,?,?,?,0.281
cabal,?,0.438,?,?
cacophony,0.406,?,?,?
cad,0.359,?,?,?
cadaver,?,0.688,0.853,?
cage,?,?,0.391,?
calamity,?,?,0.709,?
calf,?,?,?,0.04
callous,0.545,?,?,?
calm,?,?,?,0.394
calming,?,?,?,0.47
calmness,?,?,?,0.422
campaigning,0.151,0.125,?,?
camping,?,?,?,0.221
cancel,?,?,0.234,?
cancellation,?,?,0.438,?
cancer,0.577,0.828,0.875,?
candid,?,?,?,0.281
candle,?,?,?,0.234
candlelight,?,?,?,0.424
candles,?,?,?,0.25
cane,0.25,0.219,?,?
canker,0.323,?,?,?
cannibal,?,0.74,?,?
cannon,0.375,0.547,?,?
cantbreathe,?,0.641,?,?
canthandleit,?,0.484,?,?
cantstandit,0.529,?,?,?
cantwin,0.409,?,?,?
capslock,0.242,?,?,?
captivate,?,?,?,0.656
captive,?,0.517,0.576,?
captivity,?,?,0.594,?
captor,?,0.531,?,?
carcass,?,0.672,0.653,?
carcinoma,?,0.703,0.703,?
cardiomyopathy,?,0.594,0.422,?
carefree,?,?,?,0.5
carelessness,0.312,?,?,?
caricature,?,0.141,?,?
carnage,0.814,0.717,0.833,?
carnival,?,?,?,0.643
carnivorous,?,0.531,?,?
carol,?,?,?,0.328
carols,?,?,?,0.424
cartridge,?,0.281,?,?
case,?,0.094,0.228,?
cash,0.039,0.062,?,0.406
casket,?,0.594,0.656,?
castle,?,?,?,0.219
castrate,0.727,?,?,?
casualty,0.594,0.719,0.828,?
cataract,?,0.25,0.188,?
catastrophe,0.735,0.953,0.911,?
cathedral,?,?,?,0.266
caution,0.145,0.328,?,?
cautionary,?,0.359,?,?
cautious,?,0.281,?,?
cautiously,?,0.188,?,?
ceasefire,?,0.156,?,?
celebrate,?,?,?,0.844
celebrated,?,?,?,0.859
celebrating,?,?,?,0.97
celebration,?,?,?,0.929
celebrations,?,?,?,0.833
celebratory,?,?,?,0.818
celebrity,0.026,?,?,0.342
celestial,?,?,?,0.547
cemetery,?,0.541,0.766,?
censor,0.424,0.149,?,?
ceremony,?,?,?,0.455
chaff,0.312,0.172,?,?
chagrin,?,?,0.547,?
chai,?,?,?,0.156
challenge,0.364,0.281,?,?
champion,?,?,?,0.641
change,?,0.198,?,?
chant,0.111,?,?,0.203
chaos,0.515,0.839,0.594,?
chaotic,0.576,?,?,?
chargeable,?,0.312,0.203,?
charitable,?,?,?,0.5
charity,?,?,?,0.406
charmed,?,?,?,0.546
chased,?,0.516,?,?
chasm,?,0.375,?,?
cheat,0.63,?,?,?
checkpoint,?,0.172,?,?
cheer,?,?,?,0.897
cheered,?,?,?,0.773
cheerful,?,?,?,0.906
cheerfulness,?,?,?,0.758
cheering,?,?,?,0.859
cheers,?,?,?,0.773
cheery,?,?,?,0.727
cherish,?,?,?,0.703
chicken,?,0.234,?,?
child,?,?,?,0.466
childhood,?,?,?,0.394
childloss,?,?,0.812,?
chill,?,?,?,0.281
chilled,?,?,?,0.25
chilling,?,?,?,0.227
chilly,?,?,0.203,?
chimera,?,0.375,?,?
chirp,?,?,?,0.25
chirping,?,?,?,0.328
chocolate,?,?,?,0.484
choir,?,?,?,0.391
choke,0.719,?,0.682,?
cholera,?,0.75,0.583,?
choral,?,?,?,0.348
chow,?,?,?,0.135
christ,?,?,?,0.5
christian,?,?,?,0.397
christmas,?,?,?,0.609
christmasbreak,?,?,?,0.727
christmaseve,?,?,?,0.656
christmasspirit,?,?,?,0.766
christmassy,?,?,?,0.779
christmastime,?,?,?,0.757
chronic,?,?,0.5,?
chuckle,?,?,?,0.706
church,?,?,?,0.242
circumstances,?,?,?,0.125
civilian,?,0.062,?,?
civilians,?,0.062,?,?
civilized,?,?,?,0.169
claimant,0.182,?,?,?
clamor,0.455,?,?,?
clap,?,?,?,0.25
clarity,?,?,?,0.258
clash,0.783,?,?,?
clashing,0.652,0.578,?,?
classical,?,?,?,0.106
classics,?,?,?,0.318
claustrophobia,?,0.803,?,?
claustrophobic,?,0.765,?,?
claw,0.485,0.406,?,?
clean,?,?,?,0.26
cleave,?,0.391,?,?
cliff,?,0.5,?,?
climax,?,?,?,0.636
clinical,?,0.312,?,?
cloak,?,0.266,?,?
closeness,?,?,?,0.552
closure,?,?,0.195,0.172
clouded,?,?,0.312,?
cloudiness,?,0.062,?,?
clouds,?,?,0.125,?
cloudy,?,?,0.234,?
clown,?,0.125,?,0.409
clowns,?,0.207,?,?
cobra,?,0.703,?,?
cocaine,?,?,0.218,?
cocoa,?,?,?,0.353
coerce,0.379,0.484,?,?
coercion,0.515,0.547,0.438,?
coffee,?,?,?,0.333
coffin,?,0.684,0.672,?
cold,?,?,0.188,?
coldness,0.477,0.375,0.391,?
coldsweat,?,0.438,?,?
collapse,?,0.703,0.469,?
collision,0.609,?,?,?
collusion,0.432,0.312,0.469,?
coma,?,0.656,0.5,?
comatose,?,0.575,0.562,?
combat,0.667,0.728,?,?
combatant,0.636,0.672,?,?
combative,0.891,0.625,?,?
comfort,?,?,?,0.515
comforting,?,?,?,0.636
comfy,?,?,?,0.551
commemorate,?,?,0.125,0.453
commemoration,?,?,?,0.479
commendable,?,?,?,0.519
committal,?,?,0.312,?
commotion,0.424,?,?,?
communion,?,?,?,0.379
communism,0.531,0.547,0.25,?
companion,?,?,?,0.406
compassion,?,0.078,?,?
compensate,?,?,?,0.273
competition,?,0.172,?,?
competitive,0.125,?,?,?
complain,0.469,?,0.509,?
complaint,0.485,?,?,?
complement,?,?,?,0.647
complete,?,?,?,0.515
completing,?,?,?,0.406
completion,?,?,?,0.547
complicate,0.25,?,?,?
compliment,?,?,?,0.831
composure,?,0.172,?,?
compress,0.219,?,?,?
compulsion,0.409,?,?,?
conceal,?,?,0.311,?
concealed,?,0.438,?,?
concealment,0.424,0.391,?,?
concerned,?,0.359,0.184,?
conciliation,?,?,?,0.364
concussion,0.377,?,0.545,?
condemn,0.825,?,?,?
condemnation,0.672,0.637,0.754,?
condescension,0.576,?,0.391,?
condolence,?,?,0.766,?
condolences,?,?,0.594,?
confess,?,?,0.303,?
confession,?,0.266,0.281,?
confessional,?,0.225,?,?
confidence,?,0.109,?,0.547
confident,?,0.094,?,0.531
confine,0.547,0.562,0.406,?
confined,0.5,0.578,0.531,?
confinement,0.531,0.507,0.439,?
confiscate,0.394,?,0.453,?
conflagration,0.561,0.609,?,?
conflict,0.578,0.641,0.469,?
confront,0.582,?,?,?
confusion,0.219,0.281,0.273,?
congrats,?,?,?,0.773
congratulatory,?,?,?,0.719
connoisseur,?,?,?,0.333
conquer,?,0.391,?,?
conquest,0.367,0.359,?,?
consecration,?,?,0.359,0.235
console,?,?,0.531,?
conspiracy,?,0.4,?,?
conspirator,0.545,0.516,?,?
conspire,?,0.312,?,?
consternation,0.592,0.359,?,?
constrain,?,0.358,?,?
constraint,0.455,0.5,0.288,?
contagion,?,0.688,?,?
contagious,?,0.72,?,0.25
contaminated,?,0.61,0.594,?
contempt,0.672,0.359,?,?
contemptible,0.764,?,?,?
contemptuous,0.69,?,?,?
content,?,?,?,0.688
contented,?,?,?,0.588
contentious,0.578,0.344,?,?
contentment,?,?,?,0.672
contraband,0.281,0.464,?,?
contradict,0.409,?,?,?
controversial,0.359,?,?,?
convict,0.621,0.594,0.469,?
cookies,?,?,?,0.344
coop,0.156,?,?,?
cop,?,0.273,?,?
coping,?,?,0.219,?
copycat,0.227,?,?,?
coronation,?,?,?,0.515
corpse,?,?,0.75,?
corrosive,?,0.636,?,?
corrupting,0.672,0.562,0.565,?
corse,?,?,0.359,?
couch,?,?,0.06,?
counsellor,0.059,0.094,?,?
countdown,?,0.156,?,?
countrymusic,?,?,?,0.212
countryside,?,?,?,0.25
coup,0.578,?,?,?
courageous,?,0.154,?,?
court,0.199,0.284,?,?
courtship,?,?,?,0.375
cousins,?,?,?,0.318
cove,?,0.141,?,0.203
coward,?,0.578,0.484,?
cowardice,?,0.567,0.652,?
cowardly,?,0.531,?,?
coy,?,0.162,?,?
coyote,?,0.422,?,?
cozy,?,?,?,0.583
crabby,0.455,?,?,?
cracked,0.422,0.484,?,?
cradle,?,?,?,0.247
crafts,?,?,?,0.312
cram,?,0.312,?,?
cranky,0.653,?,?,?
crash,?,0.734,0.5,?
crazed,0.75,0.656,?,?
craziness,?,?,?,0.188
crazy,0.5,0.519,0.368,?
cream,?,?,?,0.061
create,?,?,?,0.288
creativity,?,?,?,0.484
creature,?,0.34,?,?
cremation,?,?,0.621,?
crescendo,?,?,?,0.485
cretins,0.516,?,?,?
cried,?,?,0.719,?
crime,0.672,0.719,?,?
criminal,0.714,0.766,?,?
criminality,0.578,0.642,?,?
cringe,?,0.578,0.5,?
cripple,?,0.703,0.719,?
crippled,?,?,0.836,?
crippling,?,0.817,?,?
crisis,?,0.766,?,?
critical,?,?,?,0.116
criticise,?,?,0.453,?
criticism,0.318,?,0.484,?
criticize,0.516,0.469,0.469,?
crocodile,?,0.7,?,?
cross,0.561,0.203,0.156,?
crouch,?,0.266,?,?
crouching,?,0.297,?,?
crowds,?,0.266,?,?
crowning,?,?,?,0.485
crucifixion,0.712,0.891,0.859,?
cruel,0.758,0.656,0.609,?
cruelly,0.672,0.658,?,?
cruelty,0.833,0.797,0.812,?
cruising,?,?,?,0.556
